,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
3047,Kublai Khan,Metalcore,"Sherman, Texas",['Metalcore'],['2009-present'],"['Rise, Artery']","['Matt Honeycutt', 'Nolan Ashley', 'Eric English', 'Isaac Lamb', '']",
3048,Lamb of God,Metalcore,"Richmond, Virginia, U.S.","['Groove metal', 'thrash metal', 'metalcore', 'death metal']",['1994\xa0(1994)–present'],"['Legion', 'Prosthetic', 'Black Market Activities', 'Epic', 'Roadrunner', 'Nuclear Blast']","['John Campbell', 'Chris Adler', 'Randy Blythe', 'Willie Adler', 'Mark Morton', '']","['Matt Conner', 'Abe Spear', '']"
3049,Last Chance to Reason,Metalcore,"Augusta, Maine","['Progressive metal, metalcore']",['2004-present'],"['Tribunal, Prosthetic']","['Mike Lessard', 'Chris Corey', 'Evan Sammons', 'A.J. Harvey']",
3050,Lay It on the Line,Metalcore,"London, England","['Hardcore punk, melodic hardcore']",['2012–present'],['Disconnectdisconnect records'],"['Alice Hour – vocals ', 'Ku – guitar ', 'James Eaton-Brown – drums', 'Donuts – bass', 'Mike Scott – vocals, guitar']","['Matt Scott ', 'Matt Ash ', 'Tristan Chate ', 'Dave Smith', 'Hannah Fautley']"
3051,Leaders,Metalcore,"Hollister, California","['Christian metal, metalcore']",['2011–2015'],['Facedown'],['Lazarus Rios'],
3052,Letlive,Metalcore,"Los Angeles, California, United States","['Post-hardcore', 'art punk', 'experimental rock', 'metalcore']",['2002\xa0(2002)–2017\xa0(2017)'],"['At One, Tragic Hero, Epitaph']",,"['Jason Aalon Butler', 'Ryan Jay Johnson', 'Jeff Sahyoun', 'Loniel Robinson', 'Keeyan Majdi', 'Alex Haythorn', 'Christian Johansen', 'Ben Sharp', 'Craig Sanchez', 'Adam Castle', 'Omid Majdi', 'Brenden Russel', 'Anthony Paul Rivera', 'Jean Francisco Nascimento', '']"
3053,Life in Your Way,Metalcore,"Manchester, Connecticut, United States","['Christian metal, post-hardcore, melodic hardcore, metalcore']",['1999–2008 2011–present'],"['Come & Live!', 'Solid State', 'Indianola', 'Floodgate']","['Josh Kellam', 'Jeremy Kellam', 'Todd Mackey', 'James Allen', 'Dave Swanson', 'Andy Nelson']","['Andrew Bradley', 'Jason DiNitto', 'John Young', 'Casey McCue', 'Mike Saracino', 'John Gaskill', 'Corey Stroffolino']"
3054,A Life Once Lost,Metalcore,"Philadelphia, Pennsylvania, US",['Metalcoreprogressive metalgroove metal'],['1999–2013'],['Ferret MusicDeathwish Inc.Robotic EmpireSeason of Mist'],,"['Robert Meadows', 'Douglas Sabolick', 'Jordan Crouse', 'Nick Frasca', 'Nick Hale', 'Mike Sabolick', 'Richard Arnold', 'Alin Ashraf', 'Justin Graves', 'TJ De Blois', 'Vadim Taver', 'Robert Carpenter', '']"
3055,Liferuiner,Metalcore,"Greater Toronto Area, Canada","['Metalcore, melodic hardcore']",['2004-present'],"['Tribunal, Rise, Uprising/This City Is Burning, Transcend, InVogue']","[""Jonny O'Callaghan"", 'Burton Lavery', 'Mike Short', 'Terrance Pettitt', 'Cole Hardy']",
3056,Ligeia,Metalcore,,,,,,
3057,Light the Torch,Metalcore,"Los Angeles, California, United States","['Metalcore, heavy metal, hard rock']",['2012–present'],['Nuclear Blast'],"['Francesco Artusato', 'Howard Jones', 'Ryan Wombacher', 'Mike Sciulara']","['Roy Lev-Ari', 'John Sankey']"
3058,Like Moths to Flames,Metalcore,"Columbus, Ohio, United States","['Metalcore', 'post-hardcore']",['2010\xa0(2010)–present'],"['Rise Records', 'Nuclear Blast']","['Chris Roetter', 'Aaron Evans', 'Jeremy Smith', 'Zach Pishney', '']","['Jordan Matz', 'Aaron Douglas', 'Lance Greenfield', 'Kevin Rutherford', 'Zach Huston', 'Eli Ford', 'Greg Diamond', '']"
3059,Living Sacrifice,Metalcore,"Pulaski County, Little Rock, Arkansas, U.S.","['Christian metal, extreme metal, hardcore punk']","['1989–2005, 2008–present']","['R.E.X., Solid State']","['Bruce Fitzhugh', 'Rocky Gray', 'Lance Garvin', 'Arthur Green']","['Darren Johnson', 'Jason Truby', 'Chris Truby', 'Cory Putman', 'Matthew Putman', 'Jay Stacey']"
3060,Loathe,Metalcore,"Liverpool, England",['Metalcorenu metalprogressive metal'],['2015-present'],['SharpTone'],"['Kadeem France', 'Erik Bickerstaffe', 'Connor Sweeney', 'Sean Radcliffe', 'Feisal El-Khazragi', '']","['Shayne Smith', '']"
3061,Luti-Kriss,Metalcore,"Douglasville, Georgia, United States","['Metalcore, hardcore punk']",['1997–present'],"['Takehold, Solid State, Razor & Tie']","['Phillip Farris', 'Cory Brandan', '']","['Daniel Davison', 'Josh Doolittle', 'Scottie Henry', 'Josh Scogin', 'Jake Schultz', 'Chris Raines', 'Chris Day', 'Josh Swofford', 'Mick Bailey', 'Clayton Holyoak', 'John Finnegan', 'Jeff Hickey', 'Ryan Leger', '']"
3062,Lye By Mistake,Metalcore,"St. Louis, Missouri, United States","['Progressive metal, mathcore, jazz fusion']",['2004 - 2011'],['Black Market Activities'],"['Ben Whailin', 'Drew Button', 'Bob-e Rite', 'Johnnie Truesdale']",['Tony Saputo']
3063,Madball,Metalcore,"New York City, New York, U.S.","['Hardcore punk, heavy hardcore']","['1988−2001, 2002−present']","['Good Fight Music, Ferret Music, Wreck-Age, Roadrunner, Epitaph, I Scream, Thorp Records, Nuclear Blast']","['Freddy Cricien', 'Jorge ""Hoya Roc"" Guerra', 'Mike Justian', 'Mike Gurnari']","['Vinnie Stigma', 'Rob Rosario', 'Will Shepler', 'John Lafata', 'Darren Morgenthaler', 'Rigg Ross', 'Roger Miret', 'Matt Henderson', 'Walter Ryan', 'Ben Dussault', 'Mackie Jayson', 'Igor Wouters', 'Jay Weinberg', 'Brian ""Mitts"" Daniels']"
3064,Make Me Famous,Metalcore,"Donetsk, Ukraine","['Metalcore, electronicore, post-hardcore']",['2009\xa0(2009)–2013'],['Sumerian Records'],,"['Denis Shaforostov', 'Serj Kravchencko', 'Jimmy X Rose', 'Sergei Hohlov', 'Dusty Boles', 'Jace Thomas']"
3065,Memphis May Fire,Metalcore,"Denton, Texas, United States","['Post hardcore, metalcore, emo, heavy metal']",['2006–present'],"['Rise, Trustkill']","['Kellen McGregor ', ' ', ' Cory Elder ', ' Jake Garland']","['Ryan Dooley ', ' Tanner Oakes ', ' Chase Ryan ', ' Ryan Bentley ', ' Austin Radford ', ' Daniel De Los Santos ', ' Joel Seier ', ' Eric Molesworth ', ' Anthony Sepe']"
3066,Merauder,Metalcore,"Brooklyn, New York, U.S.","['Metalcore, hardcore punk, crossover thrash, groove metal']",['1990–present'],"['Century Media, Regain']",,
3067,Misery Signals,Metalcore,"Milwaukee, Wisconsin, Edmonton, Alberta","['Metalcore', 'melodic metalcore', 'progressive metalcore']",['2002–present'],"['Ferret, Basick']","['Jesse Zaraska', 'Ryan Morgan', 'Branden Morgan', 'Stuart Ross', 'Kyle Johnson']","['Karl Schubach', 'Jeff Aust', 'Gregory Thomas', 'Kent Wren']"
3068,Miss May I,Metalcore,"Troy, Ohio, United States","['Metalcore, thrash metal, melodic death metal']",['2007–present'],"['SharpTone', 'Rise']","['Levi Benton', 'B.J. Stead', 'Ryan Neff', 'Justin Aufdemkampe ', 'Jerod Boyd']",['Josh Gillespie']
3069,More Than a Thousand,Metalcore,Portugal,"['Metalcore, post-hardcore, alternative metal']",['2001–2016'],,"['Vasco Ramos', 'Filipe Oliveira', 'Sérgio Sousa', 'Wilson Silva', 'Mike Ghost']","['André Viegas', 'Jorge Felizardo', 'Pedro Pais', 'Ricardo Sousa']"
3070,Morning Again,Metalcore,"Cooper City, Florida, United States",['Metalcore'],"['1995–1999, 2000, 2002, 2011–2012, 2014–2015, 2018–present']","['Conquer The World, Eulogy, Good Life, Immigrant Sun, Intention, Moo Cow, Revelation']","['Kevin Byers', ' John Wylie', ' Steve Looker', ' Jerry Villarroel', ' Matt Thomas', 'Damien Moyal', ' Joseph Simmons', '  Mike Wahls', ' Eric Ervin', ' Louie Long']",
3071,Most Precious Blood,Metalcore,"Brooklyn, New York City, New York, United States","['Hardcore punk, metalcore']",['2001–present'],['Bullet Tooth'],"[' ', ' Rachel Rosen ', ' Rob Fusco ', ' Matt Miller ', ' Colin Kercz ', ' Thomas Sheehan']",
3072,Motionless in White,Metalcore,"Scranton, Pennsylvania","['Metalcore', 'gothic metal', 'industrial metal', 'alternative metal', 'nu metal']",['2005–present'],"['Roadrunner', 'Fearless', 'Tragic Hero', 'Masquerade']","['Chris ""Motionless"" Cerulli', 'Ryan Sitkowski', 'Ricky ""Horror"" Olson', 'Vinny Mauro', 'Justin Morrow']","['Kyle White', 'Mike Costanza', 'Frank Polumbo', 'Thomas ""TJ"" Bell', 'Angelo Parente', 'Brandon ""Rage"" Richter', 'Josh Balz', 'Devin ""Ghost"" Sola']"
3073,My Ticket Home,Metalcore,"Columbus, Ohio","['Metalcore', 'nu metal', 'grunge', 'hardcore punk']",['2008-present'],"['Spinefarm, Rise']","['Nick Giumenti', 'Matt Gallucci', 'Derek Blevins', 'Marshal Giumenti']","['Sean Mackowski', 'Eli Ford', 'Luke Fletcher', 'Nick Salemi', 'Matt Seidel']"
3074,MyChildren MyBride,Metalcore,"Madison, Alabama",['Metalcore'],['2004–present'],"['Solid State, Good Fight, eOne']","['Matthew Hasting', 'Robert Bloomfield', 'Andrew Holzbaur', '']",
3075,"Myka, Relocate",Metalcore,"Lafayette, Louisiana, United States",['Metalcore'],['2007\xa0(2007)–present'],['Artery RecordingsRazor & Tie'],"['Austin Doré', 'Dylan LeBlanc', 'Josh Peltier', 'John Ritter', 'Michael Swank']","['Sam Albarado', 'Scott Badon', 'Luke Burleigh', 'Garrett Hawkins', 'Aaron Robertson']"
3076,Mutiny Within,Metalcore,"Edison, New Jersey, USA","['Melodic death metal', 'metalcore', 'thrash metal', 'power metal', 'progressive metal']",['2002-present'],"['Roadrunner Records, 2009 - 2011']","['Chris Clancy', ' Brandon Jacobs', ' Daniel Bage', ' Bill Fore', ' Andrew Jacobs']","['Drew Stavola', ' Jeff Stewart', ' Lu Obregon', ' Chad Anthony ', ' Mike Vassallo']"
3077,Narrows,Metalcore,"Seattle, Washington, U.S.","['Mathcore, hardcore punk']",['2008–present'],['Deathwish'],"['Dave Verellen', 'Sam Stothers', 'Rob Moran', 'Jodie Cox', 'Ryan Frederiksen']",
3078,No Innocent Victim,Metalcore,"San Diego, California","['Hardcore punk, metalcore']","['1992-2002, 2004–2017']","['Rescue', 'Facedown', 'Solid State', 'Victory', 'Blood and Ink (affiliated)']","['Jason Moody', 'Tim Mason', 'Dave Quiggle', 'Neil Hartman', 'Jason Dunn']","['Corey Edelmann', 'Kurt Love', 'Judd Morgan', 'Kyle Fisher', 'Chris Beckett', 'John Harbert', 'Truxton Meadows', 'Chris Rapier', 'Nate Jarrell']"
3079,No Sin Evades His Gaze,Metalcore,"Blackpool, England, United Kingdom","['Death metal, progressive metal, metalcore, djent, groove metal']",['2013–present'],,"['James Denton', ' Moat ""Cor, He\'s a Bigun\'"" Lowe', ' Dan Thornton', ' Theo Harvey']",['Kevin Pearson']
3080,Nora,Metalcore,"Highland Park, New Jersey, United States","['Melodic hardcore', 'metalcore']",['1996–present'],"['Ferret, Trustkill Records, Good Fight Recordings']","['Carl Severson', 'Matt ""Portland"" Hay', 'Steve ""Jeff"" Chladnicek', 'Dan Hornecker', 'Chris Ross']",
3081,Norma Jean,Metalcore,"Douglasville, Georgia, United States","['Metalcore, hardcore punk']",['1997–present'],"['Takehold, Solid State, Razor & Tie']","['Phillip Farris', 'Cory Brandan', '']","['Daniel Davison', 'Josh Doolittle', 'Scottie Henry', 'Josh Scogin', 'Jake Schultz', 'Chris Raines', 'Chris Day', 'Josh Swofford', 'Mick Bailey', 'Clayton Holyoak', 'John Finnegan', 'Jeff Hickey', 'Ryan Leger', '']"
3082,Northlane,Metalcore,"Sydney, New South Wales, Australia",['Metalcoreprogressive metal'],['2009\xa0(2009)–present'],"['UNFD', 'Distort', 'Rise']","['Jon Deiley', 'Josh Smith', 'Nic Pettersen', 'Marcus Bridge', 'Brendon Padjasek', '']","['Brandon Derby', 'Mitchell Collier', 'Simon Anderson', 'Adrian Fitipaldes', 'Alex Milovic', '']"
3083,The Number Twelve Looks Like You,Metalcore,"Bergen County, New Jersey, United States","['Mathcore, screamo']","['2002–2010, 2016–present']","['ECA, Eyeball']","['Jesse Korman', 'Alexis Pareja', 'DJ Scully', 'Michael Kadnar']","['Chris Russell', 'Jon Karel', 'Christopher Conger', 'Mike Smagula', 'Jamie McIlroy', 'Justin Pedrick']"
3084,Oathbreaker,Metalcore,"Flanders, Belgium","['Black metal', 'post-hardcore', 'post-metal', 'blackgaze', 'hardcore punk']",['2008–present'],"['Thirty Days of Night, Holy Shit!, Deathwish Inc.']","['Lennart Bossu', 'Gilles Demolder', 'Caro Tanghe', 'Wim Coppers']",['Ivo Debrabandere']
3085,Oceans Ate Alaska,Metalcore,"Birmingham, West Midlands, England, UK","['Metalcore', 'progressive metalcore']",['2010\xa0(2010)–present'],['Fearless'],"['James Kennedy', 'Chris Turner', 'Adam Zytkiewicz', 'Mike Stanton', 'Jake Noakes']","['Alex Hurdley', 'Josh Salthouse', 'George Arvanitis', 'James Harrison']"
3086,Odd Project,Metalcore,"Orange County, California, United States","['Hardcore punk', 'heavy metal', 'metalcore', 'post-hardcore']",['2000–2007'],['Indianola'],,"['Mike Knowlton', 'Jon Kintz', 'Michael ""Jag"" Jagmin', 'Matt Lamb', 'Scott Zschomler', 'Greg Pawloski', 'Eric Cline', 'Christian Escobar', 'Mike Gordon', '']"
3087,Of Mice & Men,Metalcore,"Costa Mesa, California, U.S.","['Metalcore', 'nu metal', 'alternative metal', 'post-hardcore (early)']",['2009–present'],['Rise'],"['Valentino Arteaga', 'Phil Manansala', 'Alan Ashby', 'Aaron Pauley', '']","['Jon Kintz', 'Jaxin Hall', 'Jerry Roush', 'Shayley Bourget', 'Austin Carlile', '']"
3088,"Oh, Manhattan",Metalcore,,,,,,
3089,"Oh, Sleeper",Metalcore,"Fort Worth, Texas, United States","['Metalcore, Christian metal']",['2006–present'],"['Solid State, Independent']","['Micah Kinard', 'Shane Blay', 'Zac Mayfield']","['James Erwin', 'Lucas Starr', 'Ryan Conley', 'Matt Davis', 'Johno Erickson', 'Nathan Grady']"
3090,Okilly Dokilly,Metalcore,"Phoenix, Arizona, United States","['Metalcore, parody music, heavy metal, comedy rock, christian rock']",['2015–present'],,"['Head Ned', 'Shred Ned', 'Zed Ned', 'Dread Ned', 'Bed Ned']","['Bled Ned', 'Red Ned', 'Stead Ned', 'Cred Ned', 'Dead Ned']"
3091,On Broken Wings,Metalcore,"Boston, Massachusetts, USA",['Metalcore'],"['2001–2007, 2008–Present']","['Eulogy, Artery']",,
3092,Once Nothing,Metalcore,"Pittsburgh, Pennsylvania","['Metalcore, sludge metal, Christian metal, Southern metal']","['2000–2009, 2010, 2012–present']","['Solid State, CI']","['Todd Lowry', 'Dave Burkes', 'Josh Branas', 'Steve Lucarelli', 'Giuseppe Capolupo']","['Geoff Jenkins', 'Ryan Carroll', 'Kevin Hough', 'Jordan Tomb']"
3093,One Morning Left,Metalcore,Vaasa / Helsinki,"['metalcore, electronicore, post-hardcore']",['2008-present'],"['Imminence, Spinefarm (former)']","['Mika Lahti ', ' Niko Hyttinen ', ' Leevi Luoto ', ' Ari Levola ', ' Veli-Matti Kananen']",
3094,The Ongoing Concept,Metalcore,"Rathdrum, Idaho, U.S.","['Christian metal', 'Christian rock', 'post-hardcore', 'hard rock', 'metalcore', 'heavy metal']",['2009\xa0(2009)–present'],['Solid State'],"['Dawson Scholz ', ' Andy Crateau ', ' Ian Nelson ', ' Cody Rhodes']","['Dyllan Darrington ', ' Kyle Scholz', ' Parker Scholz', ' Tj Nichols']"
3095,Our Last Night,Metalcore,"Hollis, New Hampshire, United States","['Post-hardcore, alternative metal, metalcore (early)']",['2004–present'],['Epitaph'],"['Trevor Wentworth', 'Matt Wentworth', 'Alex Woodrow', 'Tim Molloy']","['Nick Perricone', 'Joey Perricone', 'Matthew Valich', 'Tim Valich', 'Colin Perry']"
3096,Overcast,Metalcore,"Boston, Massachusetts",['Metalcore'],"['1991–1998, 2006–2008, 2014–2015']",['Metal Blade'],,"['Brian Fair', ""Mike D'Antonio"", 'Pete Cortese', 'Scott McCooe', 'Jay Fitzgerald', '']"
3097,Overcome,Metalcore,"Phoenix, Arizona","['Metalcore, Christian metal']","['1993\xa0(1993)–2001, 2010\xa0(2010)–2017']","['Tooth & Nail, Facedown, Solid State, Life Sentence']","['Jason Stinson', 'Jason Bowen', 'Jon Strunk', 'Thomas Washington', 'Steven Cosand']","['Justin Gage', 'Matt Burnside', 'Chris Davis', 'Ryan Hayes', 'BJ Ovsak', 'Nick Westby', 'Steve Owens', 'Matt Brooks', 'Ethan Pajak', 'Reggie Shumway', 'Jason Obergfoll', 'Ken Williamson', 'Alex Woodford', 'Nick Greenwood']"
3098,The Overseer,Metalcore,"Bentonville, Arkansas, U.S.","['Christian metal, Christian rock, experimental rock, hard rock, metalcore']",['2007\xa0(2007)–present'],['Solid State'],"['Anthony Rivera', ' Darren King', ' Bradley Riggs', ' Abishai Collingsworth']",
3099,Palisades,Metalcore,"Iselin, New Jersey, United States","['Post-hardcore, electronicore']",['2011–present'],['Rise'],"['Lou Miceli', 'Aaron Rosa', 'Xavier Adames', 'Matthew Marshall', 'Brandon Elgar']","['Brandon Sidney', 'Earl Halasan']"
3100,Paria,Metalcore,"Omaha, Nebraska, United States","['Experimental metal, Extreme metal, progressive metal, nu metal (early), grindcore (early), mathcore (early)']",['2001–2010'],['Black Market ActivitiesImagine It Records'],"['Corey Barnes', 'John Claus', 'Brian Craig', 'Dustin Treinen']","['Andrew Gustafson', 'Aaron Langan', 'Eric Schnee']"
3101,Parkway Drive,Metalcore,"Byron Bay, New South Wales, Australia","['Metalcore', 'heavy metal']",['2003\xa0(2003)–present'],"['Resist', 'Burning Heart', 'Epitaph']","['Ben Gordon', 'Luke Kilpatrick', 'Jeff Ling', 'Winston McCall', ""Jia O'Connor"", '']","['Brett Versteeg', 'Shaun Cash', '']"
3102,Phinehas,Metalcore,"Los Angeles, California, United States","['Metalcore, Christian metal']",['2001\xa0(2001)–present'],"['Red Cord, Artery, Solid State']","['Sean McCulloch', 'Bryce Kelley', 'Daniel Gailey', 'Isaiah Perez']","['Glenn Gizzi', 'Scotty Whelan', 'Ryan Estrada', 'Jason Combs', 'Dusty Saunders', 'Michael Kevin Kilpatrick', 'Michael Angelo Ruffino', 'Matt Yriarte', 'Phil Killpatrick', 'Lee Humerian']"
3103,Pin Drop Violence,Metalcore,,,,,,
3104,A Plea for Purging,Metalcore,"Nashville, Tennessee, United States","['Metalcore, Djent, Christian metal']","['2005–2012, 2017']",['FacedownEl Shaddai (Australia)'],,"['Andy ""Dozer"" Atkins', 'Ryan Blake Martin', 'John Wand', 'Aaron Eckermann', 'Lyle Paschal', 'Tyler Wilson', 'Justin Lewis']"
3105,The Plot in You,Metalcore,"Hancock County, Ohio","['Metalcore', 'alternative metal', 'hard rock', 'post-hardcore']",['2010–present'],"['Fearless, Stay Sick Recordings, Rise, InVogue']","['Landon Tewers', 'Josh Childress', 'Ethan Yoder', 'Mathis Arnell']","['Anthony Thoma', 'Cole Worden', 'Derrick Sechrist', 'Kevin Rutherford', 'Alex Ballew']"
3106,Point of No Return,Metalcore,"São Paulo, Brazil","['hardcore punk, metalcore']",['1996–2006'],"['Liberation, Catalyst, Scorched Earth Police']",,"['Alexandre Fanuchi', 'Frederico Freitas', 'Marcos Suarez', 'Tarcísio Leite', 'Paulo Sangiorgio Jr.', 'Jefferson Queiróz', 'Luciano Juliatto', 'Gilberto Gomes', '']"
3107,Poison the Well,Metalcore,"Miami, Florida, United States","['Metalcore, post-hardcore, melodic metalcore']","['1997\xa0(1997)–2010\xa0(2010), 2015–2016 (hiatus)']","['Good Life, Trustkill, Undecided, Atlantic, Ferret']","['Ryan Primack', 'Chris Hornbrook', 'Jeffrey Moreira', 'Bradley Grace', '']","['Derek E. Miller', '']"
3108,Prayer for Cleansing,Metalcore,"North Carolina, United States","['Metalcore, death metal, black metal']","['1996–2000, 2003-2004']",['Tribunal Records'],"['David Anthem', ' ', ' ', ' Will Goodyear', ' Marc Duncan']","['Dennis Lamb', ' James Chang']"
3109,Protest the Hero,Metalcore,"Whitby, Ontario, Canada","['Progressive metal, mathcore, metalcore, punk rock (early) ']",['2001\xa0(2001)–present'],"['Vagrant Records', 'Underground Operations']","['Rody Walker', 'Tim Millar', 'Luke Hoskin', 'Mike Ieradi']","['Moe Carlson', 'Arif Mirabdolbaghi', 'Cam McLellan']"
3110,Psyopus,Metalcore,"Rochester, New York, United States","['Avant-garde metal, mathcore']","['2002–2010, 2012']",['Metal BladeBlack Market Activities'],"['Christopher Arp', 'Jason Bauers', 'Adam Frappolli', 'Fred Decoste']","['Greg Herman', 'Brian Woodruff', 'Brian Kelly', 'Lee Fisher', 'Corey Barnes', 'Jon Cole', 'Harrison Christie', 'Michael Horn', 'Matt Dalberth', 'Brent Glover']"
3111,Pulling Teeth,Metalcore,"Baltimore, Maryland, U.S.","['Hardcore punk, extreme metal']",['2005\xa0(2005)–2012\xa0(2012)'],"['A389, Firestarter, WDSounds, Deathwish, Chainsaw Safety']",,"['Alex Henderson', 'Chris Kuhn', 'Mike Riley', 'Mitchell Roemer', 'Domenic Romeo', 'Tony Hare', 'Danny Parker']"
3112,Pyrrhon,Metalcore,"Brooklyn, New York, United States","['Technical death metal, mathcore']",['2008–present'],['Relapse'],"['Dylan DiLella', 'Erik Malave', 'Doug Moore', 'Steve Schwegler']","['Alex Cohen', 'Mike Sheen', 'Kyle Smith']"
3113,Racetraitor,Metalcore,"Chicago, Illinois, U.S.","['Hardcore punk', 'metalcore', 'grindcore (early)']","['1996–99, 2016–present']","['Good Life', 'Uprising', 'Trustkill', 'Organized Crime Records', 'Good Fight Music', 'Ugly and Proud Records', 'Carry The Weight Records']","['Andy Hurley', 'Mani Mostofi', 'Brent Decker', 'Dan Binaei', 'Andrea Black', '']","['Karl Hlavinka', 'Eric Bartholomae', 'Pete Wentz', 'Rich Miles', '']"
